Tier,20 - 120nt,121 - 150nt,151 - 200nt,201 - 250nt,251 - 300nt,max_pool_size
Tier 1,200.0,233.0,260.0,344.5,515.0,100
Tier 2,400.0,466.5,520.0,689.5,1030.0,500
Tier 3,600.0,700.0,780.0,1034.0,1545.0,1000
Tier 4,800.0,933.5,1040.0,1378.5,2060.5,2000
Tier 5,1200.0,1400.0,1560.0,2068.0,3090.5,6000
Tier 6,1560.0,1872.0,2028.0,2574.0,3847.0,12000
Tier 7,2028.0,2433.5,2636.5,3347.0,5002.0,18000
Tier 8,2636.5,3163.5,3427.5,4351.0,6503.0,24000
Tier 9,3427.5,4112.5,4456.0,5657.5,8455.0,30000
Tier 10,3518.5,4222.0,4574.5,5807.5,8679.5,36000
Tier 11,3870.5,4644.5,5032.0,6387.5,9546.5,42000
Tier 12,4257.5,5109.0,5535.0,7025.5,10500.0,48000
Tier 13,4683.5,5620.0,6088.5,7728.0,11550.0,54000
Tier 14,5152.0,6182.0,6697.5,8501.5,12705.5,60000
Tier 15,5409.5,6491.0,7032.5,8927.0,13342.0,72000
Tier 16,5598.5,6718.5,7278.5,9238.5,13807.0,84000
Tier 17,5751.0,6901.0,7476.5,9490.5,14183.5,96000
Tier 18,5814.5,6978.0,7559.5,9595.0,14340.0,120000
Tier 19,6642.0,7971.0,8635.0,10959.5,16379.0,150000
Tier 20,7306.5,8768.0,9498.5,12055.5,18017.5,180000
Tier 21,7739.5,9287.5,10061.5,12770.5,19086.0,210000
Tier 22,8513.5,10216.0,11067.5,14047.5,20994.5,240000
Tier 23,10500.0,12750.0,13500.0,16500.0,24660.0,300000
Tier 24,12600.0,15300.0,16200.0,19800.0,29592.0,360000
Tier 25,14700.0,17850.0,18900.0,23100.0,34524.0,420000
Tier 26,16800.0,20400.0,21600.0,26400.0,39456.0,480000
Tier 27,20580.0,24990.0,26460.0,32340.0,48333.5,600000
Tier 28,24360.0,29580.0,31320.0,38280.0,57211.0,696000
Tier 28,48720.0,59160.0,62640.0,76560.0,114422.0,1392000
Tier 28,73080.0,88740.0,93960.0,114840.0,171633.0,2088000
Tier 28,97440.0,118320.0,125280.0,153120.0,228844.0,2784000
Tier 28,121800.0,147900.0,156600.0,191400.0,286055.0,3480000
Tier 28,146160.0,177480.0,187920.0,229680.0,343266.0,4176000
Tier 28,170520.0,207060.0,219240.0,267960.0,400477.0,4872000
Tier 28,194880.0,236640.0,250560.0,306240.0,457688.0,5568000
Tier 28,219240.0,266220.0,281880.0,344520.0,514899.0,6264000
Tier 28,243600.0,295800.0,313200.0,382800.0,572110.0,6960000
